file,line,match,tag,snippet
app/careers/page.tsx,28,#efedea,,<main className="min-h-screen bg-[#efedea]">
app/careers/page.tsx,42,#231010,,<h1 className="font-display font-light text-[#231010] text-4xl md:text-5xl lg:text-6xl tracking-[-0.025em] mb-8">
app/careers/page.tsx,54,#231010,,<HeartIcon className="size-6 text-[#231010]/40" />
app/careers/page.tsx,56,#231010,,<h3 className="font-display text-xl font-light text-[#231010] tracking-tight">Purpose-Driven Work</h3>
app/careers/page.tsx,57,#231010,,<p className="text-[14.6px] font-light text-[#231010] leading-[26px]">
app/careers/page.tsx,63,#231010,,<TrendingUpIcon className="size-6 text-[#231010]/40" />
app/careers/page.tsx,65,#231010,,<h3 className="font-display text-xl font-light text-[#231010] tracking-tight">Career Development</h3>
app/careers/page.tsx,66,#231010,,<p className="text-[14.6px] font-light text-[#231010] leading-[26px]">
app/careers/page.tsx,72,#231010,,<UsersIcon className="size-6 text-[#231010]/40" />
app/careers/page.tsx,74,#231010,,<h3 className="font-display text-xl font-light text-[#231010] tracking-tight">Collaborative Environment</h3>
app/careers/page.tsx,75,#231010,,<p className="text-[14.6px] font-light text-[#231010] leading-[26px]">
app/careers/page.tsx,81,#231010,,<GlobeIcon className="size-6 text-[#231010]/40" />
app/careers/page.tsx,83,#231010,,<h3 className="font-display text-xl font-light text-[#231010] tracking-tight">Global Reach</h3>
app/careers/page.tsx,84,#231010,,<p className="text-[14.6px] font-light text-[#231010] leading-[26px]">
app/careers/page.tsx,95,#231010,,<span className="text-[12px] font-normal uppercase tracking-[3.15px] text-[#231010]/40 block mb-4">Explore Career Areas</span>
app/careers/page.tsx,96,#231010,,<p className="text-[14.6px] font-light text-[#231010] leading-[26px]">Find your place in our mission</p>
app/careers/page.tsx,118,#231010,,<h3 className="font-display text-xl md:text-2xl font-light text-[#231010] tracking-tight">
app/careers/page.tsx,121,#231010,,<p className="text-[14.6px] font-light text-[#231010] leading-[26px]">
app/careers/page.tsx,146,#231010,,<h3 className="font-display text-xl md:text-2xl font-light text-[#231010] tracking-tight">
app/careers/page.tsx,149,#231010,,<p className="text-[14.6px] font-light text-[#231010] leading-[26px]">
app/careers/page.tsx,174,#231010,,<h3 className="font-display text-xl md:text-2xl font-light text-[#231010] tracking-tight">
